-38.03	Yaw : -3.82	Label : 3
Roll : 7.83	Pitch : -55.26	Yaw : -1.42	Label : 3
Roll : 7.48	Pitch : -56.26	Yaw : -1.24	Label : 3
Roll : 7.30	Pitch : -56.06	Yaw : -1.12	Label : 3
Roll : 7.01	Pitch : -56.75	Yaw : -1.06	Label : 3
Roll : 7.21	Pitch : -56.38	Yaw : -1.16	Label : 3
Roll : 7.18	Pitch : -57.05	Yaw : -1.09	Label : 3
Roll : 7.53	Pitch : -56.81	Yaw : -1.18	Label : 3
Roll : 7.62	Pitch : -57.30	Yaw : -1.13	Label : 3
Roll : 7.56	Pitch : -57.67	Yaw : -1.10	Label : 3
Roll : 7.85	Pitch : -58.20	Yaw : -1.13	Label : 3
Roll : 7.57	Pitch : -58.42	Yaw : -1.13	Label : 3
Roll : 7.54	Pitch : -58.61	Yaw : -1.08	Label : 3
Roll : 7.61	Pitch : -58.95	Yaw : -1.11	Label : 3
Roll : 7.88	Pitch : -59.17	Yaw : -1.18	Label : 3
Roll : 7.81	Pitch : -59.43	Yaw : -1.17	Label : 3
Roll : 7.98	Pitch : -60.30	Yaw : -1.14	Label : 3
Roll : 7.82	Pitch : -60.40	Yaw : -1.21	Label : 3
Roll : 7.99	Pitch : -60.72	Yaw : -1.12	Label : 3
Roll : 7.81	Pitch : -60.64	Yaw : -1.06	Label : 3
Roll : 7.82	Pitch : -60.91	Yaw : -1.09	Label : 3
Roll : 7.81	Pitch : -61.57	Yaw : -1.16	Label : 3
Roll : 7.94	Pitch : -61.20	Yaw : -1.31	Label : 3
Roll : 8.22	Pitch : -62.30	Yaw : -1.34	Label : 3
Roll : 8.44	Pitch : -62.21	Yaw : -1.41	Label : 3
Roll : 8.61	Pitch : -62.66	Yaw : -1.47	Label : 3
Roll : 8.60	Pitch : -62.74	Yaw : -1.48	Label : 3
Roll : 8.63	Pitch : -63.33	Yaw : -1.44	Label : 3
Roll : 8.77	Pitch : -62.95	Yaw : -1.33	Label : 3
Roll : 8.07	Pitch : -63.83	Yaw : -0.93	Label : 3
Roll : 8.13	Pitch : -64.35	Yaw : -1.03	Label : 3
Roll : 8.15	Pitch : -64.44	Yaw : -1.06	Label : 3
Roll : 8.42	Pitch : -64.52	Yaw : -1.04	Label : 3
Roll : 8.38	Pitch : -64.94	Yaw : -0.88	Label : 3
Roll : 8.43	Pitch : -65.20	Yaw : -0.89	Label : 3
